"","id","time_agg","countN","x","y","lon","lat","DateTime","Type","month","year"
"1","046b",1749686400,2,23.32486,51.35688,23.32486,51.35688,2025-06-12 08:31:59,"faber",6,2025
"2","046b",1749772800,1,23.3271824,51.3585888,23.3271824,51.3585888,2025-06-13 12:01:37,"faber",6,2025
"3","046b",1750032000,1,23.3260016,51.3541376,23.3260016,51.3541376,2025-06-16 05:01:32,"faber",6,2025
"4","046b",1750118400,1,23.3209088,51.3541312,23.3209088,51.3541312,2025-06-17 14:00:54,"faber",6,2025
"5","046b",1750204800,2,23.3197152,51.3532512,23.3197152,51.3532512,2025-06-18 13:01:55,"faber",6,2025
"6","046b",1750464000,3,23.3206981333333,51.3538421333333,23.3206981333333,51.3538421333333,2025-06-21 06:41:45,"faber",6,2025
"7","046b",1750636800,1,23.3245216,51.3540672,23.3245216,51.3540672,2025-06-23 12:02:21,"faber",6,2025
"8","046b",1750723200,1,23.3208496,51.3539648,23.3208496,51.3539648,2025-06-24 13:01:34,"faber",6,2025
"9","046b",1750809600,4,23.3187928,51.3528392,23.3187928,51.3528392,2025-06-25 11:31:39,"faber",6,2025
"10","046b",1750896000,3,23.3198112,51.3536512,23.3198112,51.3536512,2025-06-26 11:01:28,"faber",6,2025
"11","046b",1750982400,2,23.3218448,51.3542352,23.3218448,51.3542352,2025-06-27 10:31:58,"faber",6,2025
"12","046b",1751068800,5,23.32137952,51.35357696,23.32137952,51.35357696,2025-06-28 09:49:59,"faber",6,2025
"13","046b",1751155200,3,23.3204309333333,51.3533749333333,23.3204309333333,51.3533749333333,2025-06-29 10:41:41,"faber",6,2025
"14","046b",1751241600,4,23.3215372,51.3537008,23.3215372,51.3537008,2025-06-30 10:46:45,"faber",6,2025
"15","046b",1751328000,3,23.3213845333333,51.3539754666667,23.3213845333333,51.3539754666667,2025-07-01 10:42:09,"faber",7,2025
"16","046b",1751500800,1,23.3196544,51.3523232,23.3196544,51.3523232,2025-07-03 06:01:57,"faber",7,2025
"17","046b",1751673600,3,23.3204149333333,51.3542026666667,23.3204149333333,51.3542026666667,2025-07-05 17:01:40,"faber",7,2025
"18","046b",1751760000,3,23.314648,51.3482325333333,23.314648,51.3482325333333,2025-07-06 08:41:53,"faber",7,2025
"19","046b",1751846400,4,23.3144848,51.3490112,23.3144848,51.3490112,2025-07-07 12:02:05,"faber",7,2025
"20","046b",1751932800,3,23.3196352,51.3513610666667,23.3196352,51.3513610666667,2025-07-08 10:42:11,"faber",7,2025
"21","046b",1752019200,3,23.3162224,51.3503189333333,23.3162224,51.3503189333333,2025-07-09 10:21:46,"faber",7,2025
"22","046b",1752192000,1,23.3187824,51.3530656,23.3187824,51.3530656,2025-07-11 08:01:25,"faber",7,2025
"23","046b",1752278400,9,23.3232849777778,51.3535808,23.3232849777778,51.3535808,2025-07-12 09:08:36,"faber",7,2025
"24","046b",1752364800,5,23.31803072,51.35094848,23.31803072,51.35094848,2025-07-13 09:01:34,"faber",7,2025
"25","046b",1752451200,4,23.314786,51.3483992,23.314786,51.3483992,2025-07-14 10:31:55,"faber",7,2025
"26","046b",1752537600,4,23.3193944,51.3516584,23.3193944,51.3516584,2025-07-15 08:31:41,"faber",7,2025
"27","046b",1752624000,4,23.320138,51.3523624,23.320138,51.3523624,2025-07-16 10:31:57,"faber",7,2025
"28","046b",1752710400,4,23.3168776,51.3504624,23.3168776,51.3504624,2025-07-17 09:46:45,"faber",7,2025
"29","046b",1752796800,3,23.3205525333333,51.3537226666667,23.3205525333333,51.3537226666667,2025-07-18 13:21:57,"faber",7,2025
"30","046b",1752883200,2,23.318148,51.3526544,23.318148,51.3526544,2025-07-19 11:31:44,"faber",7,2025
"31","046b",1752969600,2,23.3175184,51.352272,23.3175184,51.352272,2025-07-20 11:01:58,"faber",7,2025
"32","046b",1753056000,2,23.3191736,51.3526912,23.3191736,51.3526912,2025-07-21 10:01:55,"faber",7,2025
"33","046b",1753142400,5,23.318456,51.34948864,23.318456,51.34948864,2025-07-22 14:38:08,"faber",7,2025
"34","046b",1753228800,4,23.3168224,51.3507096,23.3168224,51.3507096,2025-07-23 08:17:12,"faber",7,2025
"35","046b",1753315200,2,23.3137832,51.3518544,23.3137832,51.3518544,2025-07-24 10:02:25,"faber",7,2025
"36","046b",1753401600,3,23.2686613333333,51.3638464,23.2686613333333,51.3638464,2025-07-25 12:42:06,"faber",7,2025
"37","046b",1753488000,3,23.3106074666667,51.342624,23.3106074666667,51.342624,2025-07-26 09:41:42,"faber",7,2025
"38","046b",1753574400,3,23.3439322666667,51.3510538666667,23.3439322666667,51.3510538666667,2025-07-27 11:02:03,"faber",7,2025
"39","046b",1753660800,8,23.3505038,51.3511164,23.3505038,51.3511164,2025-07-28 12:09:12,"faber",7,2025
"40","046b",1753747200,3,23.3199301333333,51.3770378666667,23.3199301333333,51.3770378666667,2025-07-29 10:42:14,"faber",7,2025
